year,study_field_code,study_field_name,kcp_num
2024,08.02.01,Строительство и эксплуатация зданий и сооружений,295
2023,08.02.01,Строительство и эксплуатация зданий и сооружений,865
2022,08.02.01,Строительство и эксплуатация зданий и сооружений,345
2021,08.02.01,Строительство и эксплуатация зданий и сооружений,400
2020,08.02.01,Строительство и эксплуатация зданий и сооружений,315
2019,08.02.01,Строительство и эксплуатация зданий и сооружений,295
2018,08.02.01,Строительство и эксплуатация зданий и сооружений,250
2017,08.02.01,Строительство и эксплуатация зданий и сооружений,200
2016,08.02.01,Строительство и эксплуатация зданий и сооружений,200
2024,08.02.03,Производство неметаллических строительных изделий и конструкций,25
2023,08.02.03,Производство неметаллических строительных изделий и конструкций,0
2022,08.02.03,Производство неметаллических строительных изделий и конструкций,25
2021,08.02.03,Производство неметаллических строительных изделий и конструкций,0
2020,08.02.03,Производство неметаллических строительных изделий и конструкций,25
2019,08.02.03,Производство неметаллических строительных изделий и конструкций,0
2018,08.02.03,Производство неметаллических строительных изделий и конструкций,50
2017,08.02.03,Производство неметаллических строительных изделий и конструкций,25
2016,08.02.03,Производство неметаллических строительных изделий и конструкций,25
2024,08.02.04,Водоснабжение и водоотведение,25
2023,08.02.04,Водоснабжение и водоотведение,50
2022,08.02.04,Водоснабжение и водоотведение,25
2021,08.02.04,Водоснабжение и водоотведение,25
2020,08.02.04,Водоснабжение и водоотведение,0
2019,08.02.04,Водоснабжение и водоотведение,0
2018,08.02.04,Водоснабжение и водоотведение,25
2017,08.02.04,Водоснабжение и водоотведение,25
2016,08.02.04,Водоснабжение и водоотведение,25
2024,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,0
2023,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,175
2022,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,150
2021,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,150
2020,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,125
2019,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,125
2018,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,125
2017,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,125
2016,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов,125
2024,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",0
2023,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",50
2022,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",95
2021,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",50
2020,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",95
2019,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",25
2018,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",100
2017,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",75
2016,08.02.07,"Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции",75
2024,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,25
2023,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,75
2022,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,25
2021,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,75
2020,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,0
2019,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,0
2018,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,0
2017,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,0
2016,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения,0
2024,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",25
2023,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",0
2022,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",125
2021,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",50
2020,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",25
2019,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",25
2018,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",125
2017,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",75
2016,08.02.09,"Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий",75
2024,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",50
2023,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",25
2022,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",25
2021,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",25
2020,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",25
2019,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",25
2018,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",0
2017,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",0
2016,08.02.10,"Строительство железных дорог, путь и путевое хозяйство",0
2024,09.02.01,Компьютерные системы и комплексы,200
2023,09.02.01,Компьютерные системы и комплексы,200
2022,09.02.01,Компьютерные системы и комплексы,150
2021,09.02.01,Компьютерные системы и комплексы,150
2020,09.02.01,Компьютерные системы и комплексы,200
2019,09.02.01,Компьютерные системы и комплексы,125
2018,09.02.01,Компьютерные системы и комплексы,100
2017,09.02.01,Компьютерные системы и комплексы,150
2016,09.02.01,Компьютерные системы и комплексы,0
2024,09.01.03,Оператор информационных систем и ресурсов,70
2023,09.01.03,Оператор информационных систем и ресурсов,125
2022,09.01.03,Оператор информационных систем и ресурсов,170
2021,09.01.03,Оператор информационных систем и ресурсов,95
2020,09.01.03,Оператор информационных систем и ресурсов,0
2019,09.01.03,Оператор информационных систем и ресурсов,40
2018,09.01.03,Оператор информационных систем и ресурсов,40
2017,09.01.03,Оператор информационных систем и ресурсов,50
2016,09.01.03,Оператор информационных систем и ресурсов,25
2024,09.02.06,Сетевое и системное администрирование,200
2023,09.02.06,Сетевое и системное администрирование,175
2022,09.02.06,Сетевое и системное администрирование,200
2021,09.02.06,Сетевое и системное администрирование,225
2020,09.02.06,Сетевое и системное администрирование,175
2019,09.02.06,Сетевое и системное администрирование,125
2018,09.02.06,Сетевое и системное администрирование,0
2017,09.02.06,Сетевое и системное администрирование,0
2016,09.02.06,Сетевое и системное администрирование,0
2024,09.02.07,Информационные системы и программирование,100
2023,09.02.07,Информационные системы и программирование,525
2022,09.02.07,Информационные системы и программирование,525
2021,09.02.07,Информационные системы и программирование,400
2020,09.02.07,Информационные системы и программирование,195
2019,09.02.07,Информационные системы и программирование,125
2018,09.02.07,Информационные системы и программирование,0
2017,09.02.07,Информационные системы и программирование,0
2016,09.02.07,Информационные системы и программирование,0
2024,10.02.01,Организация и технология защиты информации,0
2023,10.02.01,Организация и технология защиты информации,0
2022,10.02.01,Организация и технология защиты информации,0
2021,10.02.01,Организация и технология защиты информации,25
2020,10.02.01,Организация и технология защиты информации,50
2019,10.02.01,Организация и технология защиты информации,0
2018,10.02.01,Организация и технология защиты информации,0
2017,10.02.01,Организация и технология защиты информации,25
2016,10.02.01,Организация и технология защиты информации,25
2024,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,25
2023,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,25
2022,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,25
2021,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,25
2020,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,0
2019,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,0
2018,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,25
2017,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,0
2016,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем,0
2024,10.02.05,Обеспечение информационной безопасности автоматизированных систем,75
2023,10.02.05,Обеспечение информационной безопасности автоматизированных систем,150
2022,10.02.05,Обеспечение информационной безопасности автоматизированных систем,100
2021,10.02.05,Обеспечение информационной безопасности автоматизированных систем,25
2020,10.02.05,Обеспечение информационной безопасности автоматизированных систем,0
2019,10.02.05,Обеспечение информационной безопасности автоматизированных систем,25
2018,10.02.05,Обеспечение информационной безопасности автоматизированных систем,0
2017,10.02.05,Обеспечение информационной безопасности автоматизированных систем,0
2016,10.02.05,Обеспечение информационной безопасности автоматизированных систем,0
2024,11.02.15,Инфокоммуникационные сети и системы связи,50
2023,11.02.15,Инфокоммуникационные сети и системы связи,75
2022,11.02.15,Инфокоммуникационные сети и системы связи,75
2021,11.02.15,Инфокоммуникационные сети и системы связи,75
2020,11.02.15,Инфокоммуникационные сети и системы связи,20
2019,11.02.15,Инфокоммуникационные сети и системы связи,25
2018,11.02.15,Инфокоммуникационные сети и системы связи,0
2017,11.02.15,Инфокоммуникационные сети и системы связи,0
2016,11.02.15,Инфокоммуникационные сети и системы связи,0
2024,44.02.01,Дошкольное образование,330
2023,44.02.01,Дошкольное образование,415
2022,44.02.01,Дошкольное образование,75
2021,44.02.01,Дошкольное образование,350
2020,44.02.01,Дошкольное образование,315
2019,44.02.01,Дошкольное образование,300
2018,44.02.01,Дошкольное образование,280
2017,44.02.01,Дошкольное образование,275
2016,44.02.01,Дошкольное образование,275
2024,44.02.02,Преподавание в начальных классах,270
2023,44.02.02,Преподавание в начальных классах,200
2022,44.02.02,Преподавание в начальных классах,20
2021,44.02.02,Преподавание в начальных классах,250
2020,44.02.02,Преподавание в начальных классах,245
2019,44.02.02,Преподавание в начальных классах,200
2018,44.02.02,Преподавание в начальных классах,200
2017,44.02.02,Преподавание в начальных классах,225
2016,44.02.02,Преподавание в начальных классах,225
2024,44.02.03,Педагогика дополнительного образования,100
2023,44.02.03,Педагогика дополнительного образования,75
2022,44.02.03,Педагогика дополнительного образования,0
2021,44.02.03,Педагогика дополнительного образования,75
2020,44.02.03,Педагогика дополнительного образования,75
2019,44.02.03,Педагогика дополнительного образования,75
2018,44.02.03,Педагогика дополнительного образования,50
2017,44.02.03,Педагогика дополнительного образования,75
2016,44.02.03,Педагогика дополнительного образования,75
2024,44.02.04,Специальное дошкольное образование,50
2023,44.02.04,Специальное дошкольное образование,50
2022,44.02.04,Специальное дошкольное образование,0
2021,44.02.04,Специальное дошкольное образование,25
2020,44.02.04,Специальное дошкольное образование,25
2019,44.02.04,Специальное дошкольное образование,25
2018,44.02.04,Специальное дошкольное образование,25
2017,44.02.04,Специальное дошкольное образование,25
2016,44.02.04,Специальное дошкольное образование,25
2024,44.02.05,Коррекционная педагогика в начальном образовании,125
2023,44.02.05,Коррекционная педагогика в начальном образовании,125
2022,44.02.05,Коррекционная педагогика в начальном образовании,0
2021,44.02.05,Коррекционная педагогика в начальном образовании,75
2020,44.02.05,Коррекционная педагогика в начальном образовании,75
2019,44.02.05,Коррекционная педагогика в начальном образовании,75
2018,44.02.05,Коррекционная педагогика в начальном образовании,0
2017,44.02.05,Коррекционная педагогика в начальном образовании,50
2016,44.02.05,Коррекционная педагогика в начальном образовании,50
2024,44.02.06,Профессиональное обучение (по отраслям),100
2023,44.02.06,Профессиональное обучение (по отраслям),75
2022,44.02.06,Профессиональное обучение (по отраслям),0
2021,44.02.06,Профессиональное обучение (по отраслям),75
2020,44.02.06,Профессиональное обучение (по отраслям),0
2019,44.02.06,Профессиональное обучение (по отраслям),0
2018,44.02.06,Профессиональное обучение (по отраслям),50
2017,44.02.06,Профессиональное обучение (по отраслям),50
2016,44.02.06,Профессиональное обучение (по отраслям),50
